"(1, 4, 3)","[-348.2820662454418, -602.5330262224848, -548.5129704291271, -651.5133651642227]"
"(2, 4, 3)","[-621.9841139197766, -985.8725548294024, -3226.8722757063524, -903.6902103981914]"
"(0, 4, 2)","[-664.9455797798552, -368.9261857293725, -646.3490628766679, -558.2408206040544]"
"(1, 4, 2)","[-575.5170598226982, -491.0636211798945, -325.1873608021053, -479.5388760898249]"
"(0, 3, 2)","[-764.8809108414346, -737.6937391111361, -748.7010782324571, -597.5925945970696]"
"(1, 3, 2)","[-621.7006786781596, -178.21954624435853, -471.65001020504076, -599.4455201009732]"
"(2, 4, 2)","[-660.4729344067334, -558.9786039181547, -641.5328662081276, -647.9256787475488]"
"(2, 3, 2)","[-573.8164794682766, -136.40329515805968, -559.5316759896677, -531.9250420089355]"
"(2, 2, 2)","[-1096.840057064589, -843.3421600933161, -920.3558791055518, -454.17132790074373]"
"(1, 2, 2)","[-5371.103056161951, -1589.9580891868352, -1474.3600982407643, -627.5161791500032]"
"(1, 1, 2)","[-9031.119245458412, -7683.299697414012, -8558.95723036661, -1385.0895464875803]"
"(3, 3, 2)","[-489.8522401909436, -292.7618778072433, -196.7760769152282, -414.0296369125849]"
"(3, 2, 2)","[-512.1533056420297, -161.04001509584407, -513.5511778015557, -493.95252313569296]"
"(3, 1, 2)","[-2033.8864438213236, -3584.9896081732077, -5322.406428853383, -381.36947219824117]"
"(4, 1, 2)","[-717.9381245351458, -870.9400976664708, -6870.399909869999, -241.35826236406422]"
"(4, 2, 1)","[-201.24714918668667, -310.86819032367305, -48.54546687321166, -421.30311145758935]"
"(3, 2, 1)","[-384.3065589338415, -504.58783890447063, -286.1744054634812, -489.726484220781]"
"(3, 3, 1)","[-1385.5072115591865, -700.1328463832695, -376.6367648686206, -2116.439769891582]"
"(4, 3, 1)","[-711.0658872290976, -698.6239821615494, -337.51405920844695, -1839.1670205786825]"
"(4, 4, 1)","[-871.7222129235805, -9828.436614087746, -8276.108891793669, -9752.005885872477]"
"(3, 4, 1)","[-8496.70100642078, -8397.704565971851, -423.6163356278704, -5441.076089173825]"
"(2, 4, 1)","[-10913.878043011442, -8978.981514733874, -1705.7491045937554, -8664.393137504696]"
"(1, 4, 1)","[-12938.205299875513, -7513.527142898602, -22635.394549846715, -9506.313775800549]"
"(2, 3, 1)","[-5168.49161237168, -3005.548979763014, -681.3444153370531, -7910.11542313988]"
"(1, 3, 1)","[-9744.923228974909, -1639.623178769726, -7478.642891494765, -11193.492387069684]"
"(0, 4, 1)","[-22759.910426863302, -7687.410984897836, -22812.49508671727, -22806.079157262076]"
"(0, 3, 1)","[-23279.166511437274, -8595.067517901563, -15922.690193654505, -15116.453599471988]"
"(2, 2, 1)","[-865.715621474699, -431.2010474864353, -173.29963699970136, -917.3419096446688]"
"(2, 1, 1)","[-636.0204817033534, -322.22995131058104, -11.689439999999998, -366.84880852370907]"
"(2, 0, 0)","[0.0, 0.0, 0.0, 0.0]"
"(1, 3, 3)","[-2542.562857382134, -1639.6489875746545, -974.4496462932556, -388.4219195707374]"
"(0, 3, 3)","[-4626.398202871382, -7728.196780157781, -4253.7879297719155, -337.3845848928305]"
"(4, 3, 2)","[-456.0639678034435, -421.08689998147867, -184.52822505715199, -350.67074458668833]"
"(4, 4, 2)","[-767.2589135872674, -717.4666419935425, -478.9752642841965, -636.9387466772276]"
"(4, 1, 1)","[-36.379954441832936, -390.2828613956699, -353.0145054593287, -436.6720771121765]"
"(3, 1, 1)","[-22.907410273173944, -458.8579613892651, -144.38300022574794, -248.81678614310448]"
"(3, 0, 1)","[-15.29766, -266.8520990229931, -265.29766745061056, -276.0912483583355]"
"(3, 4, 2)","[-740.7691341101638, -428.7750702775306, -690.4286818850205, -674.7108873854363]"
"(4, 0, 1)","[-666.4365152860122, -756.5248847880074, -813.3287005597867, -313.49625013110483]"
"(1, 1, 1)","[-1427.615666933071, -384.1046814492285, -1533.0811486373934, -1627.0079546221964]"
"(0, 1, 1)","[-9791.72853269358, -930.5024180506254, -9758.596608877477, -9729.429277229923]"
"(0, 2, 1)","[-9821.223933472722, -9794.855585215762, -5379.937642683875, -9731.219646844138]"
"(0, 0, 1)","[-7984.046925679782, -8094.228567226255, -9736.725319564819, -8622.003367223486]"
"(1, 0, 1)","[-8920.913089498907, -263.2845884717267, -8154.854167081037, -8068.117587046278]"
"(1, 2, 1)","[-9159.982544139912, -5047.919845710839, -695.1630786287069, -6265.5543057162595]"
"(2, 3, 3)","[-473.4571496888094, -7716.3710573800445, -9874.900268680336, -1635.7574098310652]"
"(3, 3, 3)","[-4171.052685556766, -28243.908250070745, -37585.792183530764, -20462.359447741415]"
"(3, 2, 3)","[-23507.6836310758, -52783.82305230438, -53358.99836355874, -53416.388109085136]"
"(3, 1, 3)","[-53424.60673727428, -53334.89473683978, -53343.25751842072, -53314.800199766]"
"(3, 0, 3)","[-30851.838682050482, -53510.764321990035, -53505.11671944041, -53440.84092293143]"
"(2, 0, 2)","[-53498.4073112474, -4869.5910062405865, -25459.437088150036, -21460.394751162432]"
"(1, 0, 2)","[-9612.843652992375, -7537.651331733105, -7570.73835609691, -7639.016417584108]"
"(3, 0, 2)","[-9416.019120308654, -9377.414905611284, -9322.540308871306, -569.0025301592037]"
"(2, 1, 2)","[-1593.1406545759296, -3016.486782918526, -1359.517775496955, -870.0520344694156]"
