"(0, 3, 3)","[-1766.423006139272, -3094.3574164200927, -2032.1090857054512, -958.1031013942545]"
"(0, 2, 3)","[-2106.6201987929785, -2240.447618969462, -2206.5436896863825, -1792.5380181978994]"
"(0, 4, 2)","[-1922.8578235633463, -877.0426534373563, -1651.6035334714677, -1750.6016636986785]"
"(0, 3, 2)","[-1988.2186871934182, -964.7946221228298, -1651.7301575660456, -1730.8792133172938]"
"(1, 3, 2)","[-1897.759191317054, -313.83168063360324, -1227.8038833003773, -1941.2092670533452]"
"(0, 2, 2)","[-2341.673105146303, -951.8470261915725, -6076.286737429729, -2112.2049309047]"
"(0, 1, 2)","[-24090.508724491876, -24078.46910153869, -26424.496488555284, -2391.294510642805]"
"(1, 4, 2)","[-1973.1060428036276, -557.4197977011186, -2048.144121211416, -1957.8398735538267]"
"(2, 4, 2)","[-1375.7928306974775, -1891.6334025823585, -326.34032791801184, -1930.0664818585005]"
"(2, 3, 2)","[-1010.6000151714874, -377.8868833810005, -2055.4592263700124, -1599.2187404888698]"
"(3, 3, 2)","[-773.4193849690928, -1363.5531133537254, -437.9001096230282, -1884.8845846371244]"
"(3, 4, 2)","[-1937.1290675917237, -2070.2721710534734, -1177.537054469351, -1955.0682940589668]"
"(4, 3, 2)","[-1862.5960750209397, -1828.7552295343191, -628.3870601010277, -1809.7694870759967]"
"(2, 2, 2)","[-988.3973059456515, -352.05071942376867, -2754.64068956775, -1305.308767542446]"
"(1, 2, 2)","[-1836.264559601028, -402.21515089786215, -1838.2724246465743, -1868.2476937108115]"
"(1, 1, 2)","[-7320.755262966944, -9956.516913971078, -10844.26543544194, -1847.5033566131783]"
"(1, 0, 2)","[-26883.057870022752, -23813.8142957839, -23890.18671284104, -4693.759394689283]"
"(3, 2, 2)","[-1134.147865514368, -405.6029849258583, -745.5707100717792, -948.8484629433708]"
"(2, 1, 2)","[-7709.159500259933, -7988.841411842863, -5973.862579782644, -682.4852384101704]"
"(0, 0, 2)","[-30957.520215318727, -23630.638265623144, -30192.774225303518, -23585.650636775532]"
"(2, 0, 1)","[-24044.32183153253, -8376.235586770003, -12570.262951479428, -939.5402553208698]"
"(1, 0, 1)","[-15101.356392843263, -8.01852700255613, -10868.087811811238, -24161.79913049069]"
"(0, 0, 1)","[-14573.365021157262, -1186.0170998251117, -24127.95482996125, -24104.927104526218]"
"(0, 1, 1)","[-24136.742194084894, -24176.092940432456, -8383.61436120519, -24186.710488294884]"
"(1, 1, 1)","[-8739.180543589722, -2957.5707512451545, -12480.400899447654, -418.31983265035035]"
"(2, 1, 1)","[-753.972368757898, -712.6289385539278, -5.147500000000001, -343.1919411020717]"
"(2, 2, 1)","[-778.5075080678471, -627.187740484756, -28.456658438972187, -615.4779981701148]"
"(3, 2, 1)","[-287.66368382823015, -681.4846901809403, -942.3369220102661, -982.629419147539]"
"(1, 2, 1)","[-2708.875285689969, -457.3923776232816, -3656.2708221741377, -2133.702811263928]"
"(0, 2, 1)","[-12815.626397760983, -1063.2088734225524, -19281.942463380998, -24164.33739258336]"
"(2, 3, 1)","[-6266.149429121701, -1870.8097052759513, -388.9754874295936, -4220.386208118358]"
"(1, 3, 1)","[-6164.847969910239, -12490.931838351411, -1948.0913939395432, -9621.762956434242]"
"(0, 3, 1)","[-24201.892824533898, -15419.570349320504, -1444.9602530546213, -24376.914490883362]"
"(0, 4, 1)","[-24405.153208705357, -24326.574128332366, -10953.789196397898, -24378.32467628845]"
"(2, 4, 1)","[-7099.579476516241, -1262.2275050839146, -14508.471468599779, -13664.423915824396]"
"(1, 4, 1)","[-24327.423798803473, -1892.222752214674, -24273.977817831954, -24278.898691749535]"
"(3, 4, 1)","[-5765.057703044829, -13106.84420726471, -4050.3303977048663, -7195.021534991674]"
"(3, 3, 1)","[-3278.7974534770565, -1122.6886590153972, -1836.0766825751857, -1940.025782364104]"
"(4, 3, 1)","[-1285.6682619304245, -1976.3003991766668, -790.6189964773681, -1469.7433288168256]"
"(4, 2, 0)","[0.0, 0.0, 0.0, 0.0]"
"(1, 3, 3)","[-1912.6199869763113, -3762.2335074306206, -8102.835597666348, -4270.897770984726]"
"(1, 2, 3)","[-1755.6654765370613, -23043.61180121896, -12886.879866470976, -4626.5741856570085]"
"(1, 4, 3)","[-1607.7636171353042, -23401.371117284092, -5263.430457805938, -6463.521848544728]"
"(2, 3, 3)","[-2078.649673010566, -26196.309029919867, -22933.723671587955, -22645.096989405774]"
"(2, 4, 3)","[-11900.343247557394, -52881.67292163073, -25213.980638639914, -30757.979742547395]"
"(4, 2, 1)","[-434.49267328596534, -616.2368171452379, -514.0450735710505, -1180.8027580744676]"
"(4, 4, 1)","[-6653.931926685591, -24393.9356520175, -24360.929173635916, -24369.157507029173]"
"(3, 1, 1)","[-1299.2321331719877, -1663.5792092298354, -1265.0552230811286, -471.9385135313353]"
"(4, 1, 1)","[-1546.8039876731054, -2659.7615314343543, -2426.751232362155, -2437.6734839245264]"
